timestamp,symbol,open,high,low,close,volume
2024-01-15 09:15:00,RELIANCE,2450.0,2455.0,2448.0,2452.0,50000
2024-01-15 09:16:00,RELIANCE,2452.0,2458.0,2450.0,2456.0,45000
2024-01-15 09:17:00,RELIANCE,2456.0,2460.0,2454.0,2455.0,40000
2024-01-15 09:18:00,RELIANCE,2455.0,2457.0,2451.0,2453.0,38000
2024-01-15 09:19:00,RELIANCE,2453.0,2455.0,2449.0,2450.0,42000
2024-01-15 09:20:00,RELIANCE,2450.0,2454.0,2448.0,2451.0,39000
2024-01-15 09:15:00,TCS,3800.0,3805.0,3795.0,3802.0,25000
2024-01-15 09:16:00,TCS,3802.0,3810.0,3800.0,3808.0,22000
2024-01-15 09:17:00,TCS,3808.0,3815.0,3805.0,3812.0,21000
2024-01-15 09:18:00,TCS,3812.0,3814.0,3808.0,3810.0,19000
2024-01-15 09:19:00,TCS,3810.0,3812.0,3805.0,3806.0,24000
2024-01-15 09:20:00,TCS,3806.0,3810.0,3802.0,3805.0,23000
2024-01-15 09:15:00,INFY,1650.0,1654.0,1648.0,1652.0,30000
2024-01-15 09:16:00,INFY,1652.0,1656.0,1650.0,1655.0,28000
2024-01-15 09:17:00,INFY,1655.0,1658.0,1652.0,1654.0,26000
2024-01-15 09:18:00,INFY,1654.0,1655.0,1650.0,1651.0,25000
2024-01-15 09:19:00,INFY,1651.0,1653.0,1648.0,1649.0,27000
2024-01-15 09:20:00,INFY,1649.0,1652.0,1647.0,1650.0,29000
